,Season,Stage,Round,Href
106,2007/2008,1. del,5,http://www.kzs.si/incl?id=114&game_id=329473&league_id=undefined&season_id=11173
107,2007/2008,1. del,5,http://www.kzs.si/incl?id=114&game_id=329483&league_id=undefined&season_id=11173
108,2007/2008,1. del,6,http://www.kzs.si/incl?id=114&game_id=329493&league_id=undefined&season_id=11173
109,2007/2008,1. del,6,http://www.kzs.si/incl?id=114&game_id=329503&league_id=undefined&season_id=11173
110,2007/2008,1. del,6,http://www.kzs.si/incl?id=114&game_id=329523&league_id=undefined&season_id=11173
111,2007/2008,1. del,6,http://www.kzs.si/incl?id=114&game_id=329533&league_id=undefined&season_id=11173
112,2007/2008,1. del,6,http://www.kzs.si/incl?id=114&game_id=329543&league_id=undefined&season_id=11173
113,2007/2008,1. del,6,http://www.kzs.si/incl?id=114&game_id=329553&league_id=undefined&season_id=11173
114,2007/2008,1. del,7,http://www.kzs.si/incl?id=114&game_id=329673&league_id=undefined&season_id=11173
115,2007/2008,1. del,7,http://www.kzs.si/incl?id=114&game_id=329683&league_id=undefined&season_id=11173
116,2007/2008,1. del,7,http://www.kzs.si/incl?id=114&game_id=329733&league_id=undefined&season_id=11173
117,2007/2008,1. del,7,http://www.kzs.si/incl?id=114&game_id=329743&league_id=undefined&season_id=11173
118,2007/2008,1. del,7,http://www.kzs.si/incl?id=114&game_id=329753&league_id=undefined&season_id=11173
119,2007/2008,1. del,7,http://www.kzs.si/incl?id=114&game_id=329763&league_id=undefined&season_id=11173
120,2007/2008,1. del,8,http://www.kzs.si/incl?id=114&game_id=329893&league_id=undefined&season_id=11173
121,2007/2008,1. del,8,http://www.kzs.si/incl?id=114&game_id=329903&league_id=undefined&season_id=11173
122,2007/2008,1. del,8,http://www.kzs.si/incl?id=114&game_id=329943&league_id=undefined&season_id=11173
123,2007/2008,1. del,8,http://www.kzs.si/incl?id=114&game_id=329953&league_id=undefined&season_id=11173
124,2007/2008,1. del,8,http://www.kzs.si/incl?id=114&game_id=329963&league_id=undefined&season_id=11173
125,2007/2008,1. del,8,http://www.kzs.si/incl?id=114&game_id=329973&league_id=undefined&season_id=11173
126,2007/2008,1. del,9,http://www.kzs.si/incl?id=114&game_id=330113&league_id=undefined&season_id=11173
127,2007/2008,1. del,9,http://www.kzs.si/incl?id=114&game_id=330123&league_id=undefined&season_id=11173
128,2007/2008,1. del,9,http://www.kzs.si/incl?id=114&game_id=330203&league_id=undefined&season_id=11173
129,2007/2008,1. del,9,http://www.kzs.si/incl?id=114&game_id=330213&league_id=undefined&season_id=11173
130,2007/2008,1. del,9,http://www.kzs.si/incl?id=114&game_id=330223&league_id=undefined&season_id=11173
131,2007/2008,1. del,9,http://www.kzs.si/incl?id=114&game_id=330233&league_id=undefined&season_id=11173
132,2007/2008,2. del,1,http://www.kzs.si/incl?id=114&game_id=332783&league_id=undefined&season_id=11173
133,2007/2008,2. del,1,http://www.kzs.si/incl?id=114&game_id=332793&league_id=undefined&season_id=11173
134,2007/2008,2. del,1,http://www.kzs.si/incl?id=114&game_id=332933&league_id=undefined&season_id=11173
135,2007/2008,2. del,1,http://www.kzs.si/incl?id=114&game_id=332943&league_id=undefined&season_id=11173
136,2007/2008,2. del,1,http://www.kzs.si/incl?id=114&game_id=332953&league_id=undefined&season_id=11173
137,2007/2008,2. del,1,http://www.kzs.si/incl?id=114&game_id=333173&league_id=undefined&season_id=11173
138,2007/2008,2. del,10,http://www.kzs.si/incl?id=114&game_id=334043&league_id=undefined&season_id=11173
139,2007/2008,2. del,10,http://www.kzs.si/incl?id=114&game_id=334053&league_id=undefined&season_id=11173
140,2007/2008,2. del,10,http://www.kzs.si/incl?id=114&game_id=334413&league_id=undefined&season_id=11173
141,2007/2008,2. del,10,http://www.kzs.si/incl?id=114&game_id=334423&league_id=undefined&season_id=11173
142,2007/2008,2. del,10,http://www.kzs.si/incl?id=114&game_id=334433&league_id=undefined&season_id=11173
143,2007/2008,2. del,10,http://www.kzs.si/incl?id=114&game_id=334443&league_id=undefined&season_id=11173
144,2007/2008,2. del,11,http://www.kzs.si/incl?id=114&game_id=334453&league_id=undefined&season_id=11173
145,2007/2008,2. del,11,http://www.kzs.si/incl?id=114&game_id=334463&league_id=undefined&season_id=11173
146,2007/2008,2. del,11,http://www.kzs.si/incl?id=114&game_id=334473&league_id=undefined&season_id=11173
147,2007/2008,2. del,11,http://www.kzs.si/incl?id=114&game_id=334483&league_id=undefined&season_id=11173
148,2007/2008,2. del,12,http://www.kzs.si/incl?id=114&game_id=334543&league_id=undefined&season_id=11173
149,2007/2008,2. del,12,http://www.kzs.si/incl?id=114&game_id=334553&league_id=undefined&season_id=11173
150,2007/2008,2. del,12,http://www.kzs.si/incl?id=114&game_id=334563&league_id=undefined&season_id=11173
151,2007/2008,2. del,12,http://www.kzs.si/incl?id=114&game_id=334573&league_id=undefined&season_id=11173
152,2007/2008,2. del,13,http://www.kzs.si/incl?id=114&game_id=334613&league_id=undefined&season_id=11173
153,2007/2008,2. del,13,http://www.kzs.si/incl?id=114&game_id=334623&league_id=undefined&season_id=11173
154,2007/2008,2. del,13,http://www.kzs.si/incl?id=114&game_id=334633&league_id=undefined&season_id=11173
155,2007/2008,2. del,13,http://www.kzs.si/incl?id=114&game_id=334643&league_id=undefined&season_id=11173
156,2007/2008,2. del,14,http://www.kzs.si/incl?id=114&game_id=334663&league_id=undefined&season_id=11173
157,2007/2008,2. del,14,http://www.kzs.si/incl?id=114&game_id=334673&league_id=undefined&season_id=11173
158,2007/2008,2. del,14,http://www.kzs.si/incl?id=114&game_id=334683&league_id=undefined&season_id=11173
159,2007/2008,2. del,14,http://www.kzs.si/incl?id=114&game_id=334693&league_id=undefined&season_id=11173
160,2007/2008,2. del,2,http://www.kzs.si/incl?id=114&game_id=332823&league_id=undefined&season_id=11173
161,2007/2008,2. del,2,http://www.kzs.si/incl?id=114&game_id=332833&league_id=undefined&season_id=11173
162,2007/2008,2. del,2,http://www.kzs.si/incl?id=114&game_id=333183&league_id=undefined&season_id=11173
163,2007/2008,2. del,2,http://www.kzs.si/incl?id=114&game_id=333193&league_id=undefined&season_id=11173
164,2007/2008,2. del,2,http://www.kzs.si/incl?id=114&game_id=333203&league_id=undefined&season_id=11173
165,2007/2008,2. del,2,http://www.kzs.si/incl?id=114&game_id=333993&league_id=undefined&season_id=11173
166,2007/2008,2. del,3,http://www.kzs.si/incl?id=114&game_id=332963&league_id=undefined&season_id=11173
167,2007/2008,2. del,3,http://www.kzs.si/incl?id=114&game_id=332973&league_id=undefined&season_id=11173
168,2007/2008,2. del,3,http://www.kzs.si/incl?id=114&game_id=333373&league_id=undefined&season_id=11173
169,2007/2008,2. del,3,http://www.kzs.si/incl?id=114&game_id=333383&league_id=undefined&season_id=11173
170,2007/2008,2. del,3,http://www.kzs.si/incl?id=114&game_id=333393&league_id=undefined&season_id=11173
171,2007/2008,2. del,3,http://www.kzs.si/incl?id=114&game_id=333403&league_id=undefined&season_id=11173
172,2007/2008,2. del,4,http://www.kzs.si/incl?id=114&game_id=333103&league_id=undefined&season_id=11173
173,2007/2008,2. del,4,http://www.kzs.si/incl?id=114&game_id=333113&league_id=undefined&season_id=11173
174,2007/2008,2. del,4,http://www.kzs.si/incl?id=114&game_id=333493&league_id=undefined&season_id=11173
175,2007/2008,2. del,4,http://www.kzs.si/incl?id=114&game_id=333503&league_id=undefined&season_id=11173
176,2007/2008,2. del,4,http://www.kzs.si/incl?id=114&game_id=333513&league_id=undefined&season_id=11173
177,2007/2008,2. del,4,http://www.kzs.si/incl?id=114&game_id=333523&league_id=undefined&season_id=11173
178,2007/2008,2. del,5,http://www.kzs.si/incl?id=114&game_id=333213&league_id=undefined&season_id=11173
179,2007/2008,2. del,5,http://www.kzs.si/incl?id=114&game_id=333223&league_id=undefined&season_id=11173
180,2007/2008,2. del,5,http://www.kzs.si/incl?id=114&game_id=333683&league_id=undefined&season_id=11173
181,2007/2008,2. del,5,http://www.kzs.si/incl?id=114&game_id=333693&league_id=undefined&season_id=11173
182,2007/2008,2. del,5,http://www.kzs.si/incl?id=114&game_id=333703&league_id=undefined&season_id=11173
183,2007/2008,2. del,5,http://www.kzs.si/incl?id=114&game_id=334113&league_id=undefined&season_id=11173
184,2007/2008,2. del,6,http://www.kzs.si/incl?id=114&game_id=333413&league_id=undefined&season_id=11173
185,2007/2008,2. del,6,http://www.kzs.si/incl?id=114&game_id=333423&league_id=undefined&season_id=11173
186,2007/2008,2. del,6,http://www.kzs.si/incl?id=114&game_id=333803&league_id=undefined&season_id=11173
187,2007/2008,2. del,6,http://www.kzs.si/incl?id=114&game_id=333813&league_id=undefined&season_id=11173
188,2007/2008,2. del,6,http://www.kzs.si/incl?id=114&game_id=333823&league_id=undefined&season_id=11173
189,2007/2008,2. del,6,http://www.kzs.si/incl?id=114&game_id=334583&league_id=undefined&season_id=11173
190,2007/2008,2. del,7,http://www.kzs.si/incl?id=114&game_id=333533&league_id=undefined&season_id=11173
191,2007/2008,2. del,7,http://www.kzs.si/incl?id=114&game_id=333543&league_id=undefined&season_id=11173
192,2007/2008,2. del,7,http://www.kzs.si/incl?id=114&game_id=334003&league_id=undefined&season_id=11173
193,2007/2008,2. del,7,http://www.kzs.si/incl?id=114&game_id=334013&league_id=undefined&season_id=11173
194,2007/2008,2. del,7,http://www.kzs.si/incl?id=114&game_id=334023&league_id=undefined&season_id=11173
195,2007/2008,2. del,7,http://www.kzs.si/incl?id=114&game_id=334033&league_id=undefined&season_id=11173
196,2007/2008,2. del,8,http://www.kzs.si/incl?id=114&game_id=333713&league_id=undefined&season_id=11173
197,2007/2008,2. del,8,http://www.kzs.si/incl?id=114&game_id=333723&league_id=undefined&season_id=11173
198,2007/2008,2. del,8,http://www.kzs.si/incl?id=114&game_id=334233&league_id=undefined&season_id=11173
